first_name,last_name,email,Remaining Goal Amount
Nath,Rico,nath.rico@yahoo.com,153288.00
Ehrentraud,Puga,ehrentraud.puga@laboratorios.com,151747.00
Reynaldo,Wagenknecht,reynaldo.wagenknecht@faure.com,98164.00
Isabel,Pruschke,isabel.pruschke@gmail.com,88154.00
Randy,Alfieri,randy.alfieri@verri.org,72323.00
Reiner,Poerio,reiner.poerio@yahoo.com,71872.00
Sylvia,Bonomo,sylvia.bonomo@poulain.com,41198.00
Yvette,Harding,yvette.harding@yahoo.co.uk,40291.00
Luc,Quinn,luc.quinn@walker.com,8362.00
Gloria,Morton,gloria.morton@outlook.com,3768.00
Rafael,Alexander,rafael.alexander@jenkins.com,3739.00
Alexa,Barillaro,alexa.barillaro@ramos.net,1559.00
Chelsea,Verdugo,chelsea.verdugo@campbell.com,1503.00
Santiago,Berry,santiago.berry@aol.de,426.00
